"Aceclofenac";"Aceclofenac Avidraran";"Comprimido revestido por película";"100 mg";"Autorizado";"S";"Generis Farmacêutica, S.A.";
"Aceclofenac";"Aceclofenac Ciclum 100 mg Comprimidos";"Comprimido revestido por película";"100 mg";"Autorizado";"S";"Ciclum Farma Unipessoal, Lda.";
"Aceclofenac";"Aceclofenac Generis 100 mg Comprimidos";"Comprimido revestido por película";"100 mg";"Autorizado";"S";"Generis Farmacêutica, S.A.";
"Aceclofenac";"Aceclofenac Germed";"Comprimido revestido por película";"100 mg";"Autorizado";"S";"Germed Farmacêutica, Lda.";
"Aceclofenac";"Aceclofenac Mylan";"Comprimido revestido por película";"100 mg";"Autorizado";"S";"Mylan, Lda.";
"Aceclofenac";"Aceclofenac Ratiopharm";"Comprimido revestido por película";"100 mg";"Autorizado";"S";"Ratiopharm - Comércio e Indústria de Produtos Farmacêuticos, Lda.";
"Aceclofenac";"Airtal";"Comprimido revestido por película";"100 mg";"Autorizado";"N";"Almirall - Produtos Farmacêuticos, Lda.";
"Aceclofenac";"Airtal";"Pó para suspensão oral";"100 mg";"Autorizado";"N";"Almirall - Produtos Farmacêuticos, Lda.";
"Aceclofenac";"Airtal Difucreme";"Creme";"15 mg/g";"Autorizado";"N";"Almirall - Produtos Farmacêuticos, Lda.";
"Aceclofenac";"Biofenac";"Comprimido revestido por película";"100 mg";"Autorizado";"N";"Almirall - Produtos Farmacêuticos, Lda.";
"Aceclofenac";"Biofenac";"Creme";"15 mg/g";"Autorizado";"N";"Almirall - Produtos Farmacêuticos, Lda.";
"Aceclofenac";"Biofenac";"Pó para suspensão oral";"100 mg";"Autorizado";"N";"Almirall - Produtos Farmacêuticos, Lda.";
"Aceglumato de deanol + Heptaminol";"Forticol";"Solução oral";"230 mg/10 ml + 180 mg/10 ml";"Autorizado";"N";"Laboratório Medinfar - Produtos Farmacêuticos, S.A.";
"Acemetacina";"Rantudil";"Cápsula";"60 mg";"Autorizado";"N";"Bialfar - Produtos Farmacêuticos, S.A.";
"Acemetacina";"Rantudil 90 Retard";"Cápsula de libertação prolongada";"90 mg";"Autorizado";"N";"Bialfar - Produtos Farmacêuticos, S.A.";
"Acenocumarol";"Sintrom";"Comprimido";"4 mg";"Autorizado";"N";"Merus Labs Luxco, SARL";
"Aceponato de metilprednisolona";"Advantan";"Creme";"1 mg/g";"Autorizado";"N";"Bayer Portugal, S.A.";
"Aceponato de metilprednisolona";"Advantan";"Emulsão cutânea";"1 mg/g";"Autorizado";"N";"Bayer Portugal, S.A.";
"Aceponato de metilprednisolona";"Advantan";"Pomada";"1 mg/g";"Autorizado";"N";"Bayer Portugal, S.A.";
"Aceponato de metilprednisolona";"Advantan";"Solução cutânea";"1 mg/ml";"Autorizado";"N";"Bayer Portugal, S.A.";
"Acetato de cálcio";"Phosphosorb";"Comprimido revestido por película";"660 mg";"Autorizado";"N";"Fresenius Medical Care Nephrologica Deutschland GmbH";
"Acetato de cálcio + Carbonato de magnésio";"Osvaren";"Comprimido revestido por película";"435 mg + 235 mg";"Autorizado";"N";"Fresenius Medical Care Nephrologica Deutschland GmbH";
"Acetato de eslicarbazepina";"Zebinix";"Comprimido";"200 mg";"Autorizado";"N";"Bial - Portela & Cª, S.A.";
"Acetato de eslicarbazepina";"Zebinix";"Comprimido";"400 mg";"Autorizado";"N";"Bial - Portela & Cª, S.A.";
"Acetato de eslicarbazepina";"Zebinix";"Comprimido";"600 mg";"Autorizado";"N";"Bial - Portela & Cª, S.A.";
"Acetato de eslicarbazepina";"Zebinix";"Comprimido";"800 mg";"Autorizado";"N";"Bial - Portela & Cª, S.A.";
"Acetato de glatirâmero";"Copaxone";"Solução injetável";"20 mg/1 ml";"Autorizado";"N";"Teva Pharmaceuticals, Ltd.";
"Acetato de glatirâmero";"Copaxone";"Solução injetável em seringa pré-cheia";"40 mg/ml";"Autorizado";"N";"Teva Pharmaceuticals, Ltd.";
"Acetato de zinco";"Wilzin";"Cápsula";"25 mg";"Autorizado";"N";"   Orphan Europe, S.A.R.L.";
"Acetato de zinco";"Wilzin";"Cápsula";"50 mg";"Autorizado";"N";"   Orphan Europe, S.A.R.L.";
"Acetazolamida";"Carbinib";"Comprimido";"250 mg";"Autorizado";"N";"Laboratório Edol - Produtos Farmacêuticos, S.A.";
"Acetazolamida";"Carbinib R";"Cápsula de libertação prolongada";"500 mg";"Autorizado";"N";"Laboratório Edol - Produtos Farmacêuticos, S.A.";
"Acetilcisteína";"Acetilcisteína Bluval 600 mg Comprimidos efervescentes";"Comprimido efervescente";"600 mg";"Autorizado";"S";"Sandoz Farmacêutica, Lda.";
"Acetilcisteína";"Acetilcisteína Boehringer";"Comprimido efervescente";"600 mg";"Autorizado";"S";"Unilfarma - União Internacional Laboratórios Farmacêuticos, Lda.";
"Acetilcisteína";"Acetilcisteína Generis";"Comprimido efervescente";"600 mg";"Autorizado";"S";"Generis Farmacêutica, S.A.";
"Acetilcisteína";"Acetilcisteína Mepha";"Pó para solução oral";"200 mg";"Autorizado";"N";"Mepha - Investigação, Desenvolvimento e Fabricação Farmacêutica, Lda.";
"Acetilcisteína";"Acetilcisteína Mepha";"Pó para solução oral";"600 mg";"Autorizado";"N";"Mepha - Investigação, Desenvolvimento e Fabricação Farmacêutica, Lda.";
"Acetilcisteína";"Acetilcisteína PLS";"Comprimido efervescente";"600 mg";"Autorizado";"S";"PLS Pharma - Produtos Farmacêuticos, Lda";
"Acetilcisteína";"Acetilcisteína Pharmakern";"Comprimido efervescente";"600 mg";"Autorizado";"S";"Pharmakern Portugal - Produtos Farmacêuticos, Sociedade Unipessoal, Lda.";
"Acetilcisteína";"Acetilcisteína Sandoz";"Comprimido efervescente";"600 mg";"Autorizado";"S";"Sandoz Farmacêutica, Lda.";
"Acetilcisteína";"Acetilcisteína Sandoz";"Pó para solução oral";"100 mg";"Autorizado";"S";"Sandoz Farmacêutica, Lda.";
"Acetilcisteína";"Acetilcisteína Sandoz";"Pó para solução oral";"200 mg";"Autorizado";"S";"Sandoz Farmacêutica, Lda.";
"Acetilcisteína";"Acetilcisteína Sandoz";"Pó para solução oral";"600 mg";"Autorizado";"N";"Sandoz Farmacêutica, Lda.";
"Acetilcisteína";"Acetilcisteína Sandoz";"Solução oral";"20 mg/ml";"Autorizado";"S";"Sandoz Farmacêutica, Lda.";
"Acetilcisteína";"Acetilcisteína Teclave";"Comprimido efervescente";"100 mg";"Autorizado";"N";"Sandoz Farmacêutica, Lda.";
"Acetilcisteína";"Acetilcisteína Teclave";"Comprimido efervescente";"200 mg";"Autorizado";"N";"Sandoz Farmacêutica, Lda.";
"Acetilcisteína";"Acetilcisteína Teclave";"Comprimido efervescente";"600 mg";"Autorizado";"S";"Sandoz Farmacêutica, Lda.";
"Acetilcisteína";"Acetilcisteína ToLife";"Comprimido efervescente";"200 mg";"Autorizado";"S";"ToLife - Produtos Farmacêuticos, S.A.";
"Acetilcisteína";"Acetilcisteína ToLife";"Comprimido efervescente";"600 mg";"Autorizado";"S";"ToLife - Produtos Farmacêuticos, S.A.";
"Acetilcisteína";"Acetilcisteína Tussilene";"Comprimido efervescente";"600 mg";"Autorizado";"S";"Laboratórios Azevedos - Indústria Farmacêutica, S.A.";
"Acetilcisteína";"Fluimucil";"Comprimido efervescente";"600 mg";"Autorizado";"N";"Zambon - Produtos Farmacêuticos, Lda.";
"Acetilcisteína";"Fluimucil";"Concentrado para solução para perfusão";"200 mg/ml";"Autorizado";"N";"Zambon - Produtos Farmacêuticos, Lda.";
"Acetilcisteína";"Fluimucil";"Granulado para solução oral";"100 mg";"Autorizado";"N";"Zambon - Produtos Farmacêuticos, Lda.";
"Acetilcisteína";"Fluimucil";"Granulado para solução oral";"200 mg";"Autorizado";"N";"Zambon - Produtos Farmacêuticos, Lda.";
"Acetilcisteína";"Fluimucil";"Solução injetável";"300 mg/3 ml";"Autorizado";"N";"Zambon - Produtos Farmacêuticos, Lda.";
"Acetilcisteína";"Fluimucil 2%";"Solução oral";"20 mg/ml";"Autorizado";"N";"Zambon - Produtos Farmacêuticos, Lda.";
"Acetilcisteína";"Fluimucil 200 mg Comprimidos Dispersíveis";"Comprimido dispersível";"200 mg";"Autorizado";"N";"Zambon - Produtos Farmacêuticos, Lda.";
"Acetilcisteína";"Fluimucil 4%";"Solução oral";"40 mg/ml";"Autorizado";"N";"Zambon - Produtos Farmacêuticos, Lda.";
"Acetilcisteína";"Pulmosal";"Comprimido efervescente";"200 mg";"Autorizado";"N";"Laboratórios Azevedos - Indústria Farmacêutica, S.A.";
"Acetilcisteína";"Rinofluimucil";"Gotas nasais, solução";"10 mg/ml";"Autorizado";"N";"Zambon - Produtos Farmacêuticos, Lda.";
"Acetilcisteína";"Tirocular";"Colírio, solução";"40 mg/ml";"Autorizado";"N";"Angelini Farmacêutica, Lda.";
"Acetilsalicilato de lisina";"Acetilsalicilato de Lisina Labesfal 1800mg Pó e Solvente para Solução Injectável";"Pó e solvente para solução injetável";"1800 mg/5 ml";"Autorizado";"S";"Labesfal - Laboratórios Almiro, S.A.";
"Acetilsalicilato de lisina";"Acetilsalicilato de Lisina Labesfal 900 mg Pó e Solvente para Solução Injectável";"Pó e solvente para solução injetável";"900 mg/5 ml";"Autorizado";"S";"Labesfal - Laboratórios Almiro, S.A.";
"Acetilsalicilato de lisina";"Aspegic 100";"Pó para solução oral";"180 mg";"Autorizado";"N";"Sanofi - Produtos Farmacêuticos, Lda.";
"Acetilsalicilato de lisina";"Aspegic 1000";"Pó para solução oral";"1800 mg";"Autorizado";"N";"Sanofi - Produtos Farmacêuticos, Lda.";
"Acetilsalicilato de lisina";"Aspegic 500";"Pó para solução oral";"900 mg";"Autorizado";"N";"Sanofi - Produtos Farmacêuticos, Lda.";
"Acetilsalicilato de lisina";"Lisaspin 1000";"Pó para solução oral";"1800 mg";"Autorizado";"N";"Aristo Pharma Iberia, SL";
"Acetilsalicilato de lisina";"Lisaspin 500";"Pó para solução oral";"900 mg";"Autorizado";"N";"Aristo Pharma Iberia, SL";
"Acetonido de fluocinolona";"Iluvien";"Implante intravítreo em aplicador";"190 µg";"Autorizado";"N";"Alimera Sciences Limited";
"Acetonido de fluocinolona";"Synalar";"Creme";"0.25 mg/g";"Autorizado";"N";"Lusomedicamenta - Sociedade Técnica Farmacêutica, S.A.";
"Acetonido de fluocinolona + Lidocaína + Subgalhato de bismuto";"Synalar Rectal";"Pomada retal";"Associação";"Autorizado";"N";"Lusomedicamenta - Sociedade Técnica Farmacêutica, S.A.";
"Acetonido de fluocinolona + Neomicina";"Synalar N";"Creme";"3.5 mg + 0.25 mg";"Autorizado";"N";"Lusomedicamenta - Sociedade Técnica Farmacêutica, S.A.";
"Acetonido de fluocinolona + Neomicina + Polimixina B";"Oto-Synalar N";"Gotas auriculares, solução";"Associação";"Autorizado";"N";"Lusomedicamenta - Sociedade Técnica Farmacêutica, S.A.";
"Aciclovir";"Aciclosina";"Creme";"50 mg/g";"Autorizado";"N";"Laboratórios Atral, S.A.";
"Aciclovir";"Aciclovax";"Pó para solução para perfusão";"250 mg";"Autorizado";"N";"Labesfal - Laboratórios Almiro, S.A.";
"Aciclovir";"Aciclovir Axone";"Creme";"50 mg/g";"Autorizado";"S";"Axone, Lda.";
"Aciclovir";"Aciclovir Bluepharma";"Creme";"50 mg/g";"Autorizado";"S";"Bluepharma Genéricos - Comércio de Medicamentos, S.A.";
"Aciclovir";"Aciclovir Ciclum";"Comprimido";"200 mg";"Autorizado";"S";"Ciclum Farma Unipessoal, Lda.";
"Aciclovir";"Aciclovir Ciclum";"Comprimido";"400 mg";"Autorizado";"S";"Ciclum Farma Unipessoal, Lda.";
"Aciclovir";"Aciclovir Ciclum";"Comprimido";"800 mg";"Autorizado";"S";"Ciclum Farma Unipessoal, Lda.";
"Aciclovir";"Aciclovir Cinfa 800 mg Comprimidos Dispersíveis";"Comprimido dispersível";"800 mg";"Autorizado";"S";"Cinfa Portugal,Lda.";
"Aciclovir";"Aciclovir Combino";"Pó para solução para perfusão";"250 mg";"Autorizado";"S";"Accord Healthcare Limited";
"Aciclovir";"Aciclovir Combino";"Solução para perfusão";"250 mg/10 ml";"Autorizado";"S";"Accord Healthcare Limited";
"Aciclovir";"Aciclovir Generis";"Creme";"50 mg/g";"Autorizado";"S";"Generis Farmacêutica, S.A.";
"Aciclovir";"Aciclovir Generis";"Pó para solução para perfusão";"250 mg";"Autorizado";"S";"Generis Farmacêutica, S.A.";
"Aciclovir";"Aciclovir Generis 200 mg Comprimidos";"Comprimido";"200 mg";"Autorizado";"S";"Generis Farmacêutica, S.A.";
"Aciclovir";"Aciclovir Generis 800 mg Comprimidos";"Comprimido";"800 mg";"Autorizado";"S";"Generis Farmacêutica, S.A.";
"Aciclovir";"Aciclovir Germed";"Creme";"50 mg/g";"Autorizado";"S";"Germed Farmacêutica, Lda.";
"Aciclovir";"Aciclovir Hikma";"Pó para solução para perfusão";"250 mg";"Autorizado";"S";"Hikma Farmacêutica (Portugal), S.A.";
"Aciclovir";"Aciclovir Hikma";"Pó para solução para perfusão";"500 mg";"Autorizado";"S";"Hikma Farmacêutica (Portugal), S.A.";
"Aciclovir";"Aciclovir ITF 200 mg Comprimidos";"Comprimido";"200 mg";"Autorizado";"S";"ITF Farma - Produtos Farmacêuticos, Lda.";
"Aciclovir";"Aciclovir ITF 800 mg Comprimidos";"Comprimido";"800 mg";"Autorizado";"S";"ITF Farma - Produtos Farmacêuticos, Lda.";
"Aciclovir";"Aciclovir Labesfal";"Creme";"50 mg/g";"Autorizado";"N";"Labesfal Genéricos, S.A";
"Aciclovir";"Aciclovir Labesfal 200 mg Comprimidos";"Comprimido";"200 mg";"Autorizado";"S";"Labesfal Genéricos, S.A";
"Aciclovir";"Aciclovir Labesfal 800 mg Comprimidos";"Comprimido";"800 mg";"Autorizado";"S";"Labesfal Genéricos, S.A";
"Aciclovir";"Aciclovir Sidefarma";"Pó para solução para perfusão";"250 mg";"Autorizado";"S";"Sidefarma - Sociedade Industrial de Expansão Farmacêutica, S.A.";
"Aciclovir";"Aciclovir Tedec";"Solução para perfusão";"250 mg/10 ml";"Autorizado";"N";"Decomed Farmacêutica, S.A.";
"Aciclovir";"Aciclovir Vida";"Comprimido";"200 mg";"Autorizado";"S";"Vida - Produtos Farmacêuticos, S.A.";
"Aciclovir";"Aciclovir Vida";"Comprimido";"800 mg";"Autorizado";"S";"Vida - Produtos Farmacêuticos, S.A.";
"Aciclovir";"Aciclovir Volg";"Creme";"50 mg/g";"Autorizado";"S";"Germed Farmacêutica, Lda.";
"Aciclovir";"Aciclovir Zentiva";"Comprimido";"200 mg";"Autorizado";"S";"Sanofi - Produtos Farmacêuticos, Lda.";
"Aciclovir";"Aciclovir Zentiva";"Comprimido dispersível";"800 mg";"Autorizado";"S";"Sanofi - Produtos Farmacêuticos, Lda.";
"Aciclovir";"Aciclovir ratiopharm";"Creme";"50 mg/g";"Autorizado";"S";"Ratiopharm - Comércio e Indústria de Produtos Farmacêuticos, Lda.";
"Aciclovir";"Briclofar";"Creme";"50 mg/g";"Autorizado";"N";"Caldeira & Metelo, Lda.";
"Aciclovir";"Cicloviral";"Comprimido";"200 mg";"Autorizado";"N";"Laboratório Medinfar - Produtos Farmacêuticos, S.A.";
"Aciclovir";"Cicloviral";"Comprimido";"400 mg";"Autorizado";"N";"Laboratório Medinfar - Produtos Farmacêuticos, S.A.";
"Aciclovir";"Cicloviral";"Comprimido";"800 mg";"Autorizado";"N";"Laboratório Medinfar - Produtos Farmacêuticos, S.A.";
"Aciclovir";"Cicloviral";"Creme";"50 mg/g";"Autorizado";"N";"Medinfar Consumer Health - Produtos Farmacêuticos, Lda.";
"Aciclovir";"Cicloviral IV";"Pó para solução para perfusão";"250 mg";"Autorizado";"N";"Laboratório Medinfar - Produtos Farmacêuticos, S.A.";
"Aciclovir";"Divicil";"Comprimido";"200 mg";"Autorizado";"N";"Laboratório B. A. Farma, Lda.";
"Aciclovir";"Divicil";"Comprimido";"800 mg";"Autorizado";"N";"Laboratório B. A. Farma, Lda.";
"Aciclovir";"Divicil";"Suspensão oral";"80 mg/ml";"Autorizado";"N";"Laboratório B. A. Farma, Lda.";
"Aciclovir";"Faulviral";"Concentrado para solução para perfusão";"25 mg/ml";"Autorizado";"N";"   Hospira Portugal, Lda";
"Aciclovir";"Hermix-Sofex";"Comprimido";"200 mg";"Autorizado";"N";"Sofex Farmacêutica, Lda.";
"Aciclovir";"Hermix-Sofex";"Creme";"50 mg/g";"Autorizado";"N";"Sofex Farmacêutica, Lda.";
"Aciclovir";"Lipovir";"Gel";"50 mg/g";"Autorizado";"N";"Laboratorios Ojer Pharma, S.L.";
"Aciclovir";"Viranti";"Lápis cutâneo";"50 mg/g";"Autorizado";"N";"Alvogen IPCo, S.ár.l.";
"Aciclovir";"Zov 800";"Comprimido";"800 mg";"Autorizado";"N";"Laboratórios Wellcome de Portugal, Lda.";
"Aciclovir";"Zovirax";"Comprimido";"200 mg";"Autorizado";"N";"Laboratórios Wellcome de Portugal, Lda.";
"Aciclovir";"Zovirax";"Creme";"50 mg/g";"Autorizado";"N";"GlaxoSmithKline Consumer Healthcare Produtos para a Saúde e Higiene Lda.";
"Aciclovir";"Zovirax";"Pomada oftálmica";"30 mg/g";"Autorizado";"N";"Laboratórios Wellcome de Portugal, Lda.";
"Aciclovir";"Zovirax";"Suspensão oral";"80 mg/ml";"Autorizado";"N";"Laboratórios Wellcome de Portugal, Lda.";
"Aciclovir + Hidrocortisona";"Zoviduo";"Creme";"50 mg/g + 10 mg/g";"Autorizado";"N";"GlaxoSmithKline Consumer Healthcare Produtos para a Saúde e Higiene Lda.";
"Acitretina";"Neotigason";"Cápsula";"10 mg";"Autorizado";"N";"Aurovitas Unipessoal, Lda.";
"Acitretina";"Neotigason";"Cápsula";"25 mg";"Autorizado";"N";"Aurovitas Unipessoal, Lda.";
"Adalimumab";"Humira";"Solução injetável";"40 mg/0.8 ml";"Autorizado";"N";"AbbVie Ltd";
"Adapaleno";"Differin";"Creme";"1 mg/g";"Autorizado";"N";"Laboratorios Galderma S.A. - Sucursal em Portugal";
"Adapaleno";"Differin";"Gel";"1 mg/g";"Autorizado";"N";"Laboratorios Galderma S.A. - Sucursal em Portugal";
"Adapaleno + Peróxido de benzoílo";"Epiduo";"Gel";"1 mg/g + 25 mg/g";"Autorizado";"N";"Laboratorios Galderma S.A. - Sucursal em Portugal";
"Adefovir";"Hepsera";"Comprimido";"10 mg";"Autorizado";"N";"Gilead Sciences International Ltd.";
"Adenosina";"Adenocor";"Solução injetável";"6 mg/2 ml";"Autorizado";"N";"Sanofi - Produtos Farmacêuticos, Lda.";
"Adenosina";"Adenoscan";"Solução para perfusão";"3 mg/ml";"Autorizado";"N";"Sanofi - Produtos Farmacêuticos, Lda.";
"Adenosina";"Adenosina Claris";"Solução injetável";"6 mg/2 ml";"Autorizado";"S";"Claris Lifesciences (UK), Ltd.";
"Adrenalina";"Adrenalina Braun";"Solução injetável";"1 mg/1 ml";"Autorizado";"N";"B. Braun Medical, Lda.";
"Adrenalina";"Adrenalina Labesfal";"Solução injetável";"0.1 mg/1 ml";"Autorizado";"N";"Labesfal - Laboratórios Almiro, S.A.";
"Adrenalina";"Adrenalina Labesfal";"Solução injetável";"0.25 mg/1 ml";"Autorizado";"N";"Labesfal - Laboratórios Almiro, S.A.";
"Adrenalina";"Adrenalina Labesfal";"Solução injetável";"1 mg/1 ml";"Autorizado";"N";"Labesfal - Laboratórios Almiro, S.A.";
"Adrenalina";"Adrenalina Labesfal";"Solução injetável";"2 mg/1 ml";"Autorizado";"N";"Labesfal - Laboratórios Almiro, S.A.";
"Adrenalina";"Anapen 0,15 mg/0,3 ml";"Solução injetável";"0.15 mg/0.3 ml";"Autorizado";"N";"Lincoln Medical Ltd.";
"Adrenalina";"Anapen 0,3 mg/0,3 ml";"Solução injetável";"0.3 mg/0.3 ml";"Autorizado";"N";"Lincoln Medical Ltd.";
"Adrenalina";"Epipen";"Solução injetável em seringa pré-cheia";"0.15 mg/0.3 ml";"Autorizado";"N";"Meda Pharma - Produtos Farmacêuticos, S.A.";
"Adrenalina";"Epipen";"Solução injetável em seringa pré-cheia";"0.3 mg/0.3 ml";"Autorizado";"N";"Meda Pharma - Produtos Farmacêuticos, S.A.";
"Afamelanotido";"Scenesse";"Implante";"16 mg";"Autorizado";"N";"Clinuvel UK Ltd.";
"Afatinib";"Giotrif";"Comprimido revestido por película";"20 mg";"Autorizado";"N";"Boehringer Ingelheim International GmbH";
"Afatinib";"Giotrif";"Comprimido revestido por película";"30 mg";"Autorizado";"N";"Boehringer Ingelheim International GmbH";
"Afatinib";"Giotrif";"Comprimido revestido por película";"40 mg";"Autorizado";"N";"Boehringer Ingelheim International GmbH";
"Afatinib";"Giotrif";"Comprimido revestido por película";"50 mg";"Autorizado";"N";"Boehringer Ingelheim International GmbH";
"Aflibercept";"Eylea";"Solução injetável";"40 mg/ml";"Autorizado";"N";"Bayer Pharma A.G.";
"Aflibercept";"Eylea";"Solução injetável";"40 mg/ml";"Autorizado";"N";"Bayer Pharma A.G.";
"Aflibercept";"Zaltrap";"Concentrado para solução para perfusão";"25 mg/ml";"Autorizado";"N";"Sanofi-Aventis Groupe, S.A.";
"Agalsidase alfa";"Replagal";"Concentrado para solução para perfusão";"1 mg/ml";"Autorizado";"N";"Shire Human Genetic Therapies AB";
"Agalsidase beta";"Fabrazyme";"Pó para solução para perfusão";"35 mg";"Autorizado";"N";"Genzyme Europe, B.V.";
"Agalsidase beta";"Fabrazyme";"Pó para solução para perfusão";"5 mg";"Autorizado";"N";"Genzyme Europe, B.V.";
"Agomelatina";"Thymanax";"Comprimido revestido por película";"25 mg";"Autorizado";"N";"Servier (Ireland) Industrie, Ltd.";
"Agomelatina";"Valdoxan";"Comprimido revestido por película";"25 mg";"Autorizado";"N";"   Les Laboratoires Servier";
"Alanina-Glutamina";"Dipeptiven";"Concentrado para solução para perfusão";"200 mg/ml";"Autorizado";"N";"   Fresenius Kabi Pharma Portugal, Lda";
"Albendazol";"Zentel";"Comprimido";"400 mg";"Autorizado";"N";"Omega Pharma Portuguesa, Lda.";
"Albendazol";"Zentel";"Suspensão oral";"20 mg/ml";"Autorizado";"N";"Omega Pharma Portuguesa, Lda.";
"Albiglutido";"Eperzan";"Pó e solvente para solução injetável";"30 mg";"Autorizado";"N";"GlaxoSmithKline Trading Services, Ltd.";
"Albiglutido";"Eperzan";"Pó e solvente para solução injetável";"50 mg";"Autorizado";"N";"GlaxoSmithKline Trading Services, Ltd.";
"Albumina humana";"Albiomin 20%";"Solução para perfusão";"200 g/l";"Autorizado";"N";"Biotest Pharma GmbH";
"Albumina humana";"Albumina 25% p/v Solução de Albumina Humana";"Solução para perfusão";"250 g/l";"Autorizado";"N";"Baxalta Innovations GmbH";
"Albumina humana";"Albumina Humana 20% Behring";"Solução para perfusão";"200 g/l";"Autorizado";"N";"CSL Behring GmbH";
"Albumina humana";"Albumina Humana AMPDR";"Solução para perfusão";"200 g/l";"Autorizado";"N";"Dynamicspharma - Comercialização de Produtos Farmacêuticos, S.A.";
